"","id","PC","DE","QD","LE","TY","SP","FF","JF","CN"
"162",1,7139,"Strada Râmnicu Vâlcea","+",0.27143,"TR",26.5,36.8,1.72428,0.9
"163",1,3259,"Şoseaua Mihai Bravu","+",0.24737,"TR",7.2,27.3,8.58637,0.93
"164",1,3268,"P-ţa Protopopescu","+",0.1186,"TR",18.69,28.2,2.00713,0.83
"165",1,3267,"Calea Moşilor","+",0.22176,"TR",16.09,26.5,2.4328,0.91
"166",1,7464,"Strada Spătarului","+",0.11978,"TR",28.59,36,1.06552,0.92
"167",1,7463,"Strada Armeneasca - est","+",0.06738,"TR",21.81,32.6,2.07813,0.92
"168",1,3266,"Strada Paleologu","+",0.06016,"TR",9.87,23.6,3.9536,0.94
"169",1,7462,"Strada Armeneasca - vest","+",0.04104,"TR",17.26,32.1,3.20693,0.91
"170",1,7461,"Strada Caimatei","+",0.09294,"TR",12.81,36,6.24378,0.94
"171",1,3265,"Strada Vasile Lascăr","+",0.13849,"TR",13.84,27.6,3.39159,0.97
"172",1,7460,"Bulevardul Hristo Botev","+",0.08551,"TR",7.46,30.8,3.14159,0.98
"173",1,7459,"Strada Slănic","+",0.11774,"TR",7.53,39,9.01565,0.97
"174",1,3264,"Piaţa Universităţii","+",0.18654,"TR",6.74,24.4,7.14159,0.94
"175",1,3259,"Şoseaua Mihai Bravu","-",0.01751,"TR",20.74,27,1.05031,0.92
"176",1,7139,"Strada Râmnicu Vâlcea","-",0.29996,"TR",18.52,32.3,2.90346,0.93
"177",1,7140,"Strada Laboratorului","-",0.22867,"TR",20.22,44.4,3.14159,0.91
"178",1,7141,"Drumul Murgului","-",0.04573,"TR",16.64,47,6.71581,0.84
"179",1,3260,"Strada Liviu Rebreanu","-",0.22274,"TR",5.8,36.4,9.22107,0.84
"180",1,7142,"Aleea Odobeşti","-",0.29066,"TR",43.35,47.1,0.69217,0.83
"181",1,3261,"Strada Fizicienilor","-",0.35929,"TR",27.95,43.9,2.56463,0.87
"182",1,7143,"Aleea Fizicienilor","-",0.26266,"TR",17.99,43.2,5.20206,0.99
"183",1,7144,"Aleea Firidei","-",0.23267,"TR",17.28,48.3,6.66757,0.97
"184",1,3262,"Bulevardul Nicolae Grigorescu","-",0.3814,"TR",22.09,41.3,3.14159,0.8
"185",1,3264,"Piaţa Universităţii","-",0.06204,"TR",5.44,23.7,3.14159,0.95
"186",1,7459,"Strada Slănic","-",0.14673,"TR",23.67,36.8,2.39261,0.96
"187",1,7460,"Bulevardul Hristo Botev","-",0.11774,"TR",14.66,34.2,3.14159,0.96
"188",1,3265,"Strada Vasile Lascăr","-",0.0789,"TR",6.92,31.3,8.84572,0.98
"189",1,7461,"Strada Caimatei","-",0.14423,"TR",6.42,39.3,9.19648,0.95
"190",1,7462,"Strada Armeneasca - vest","-",0.09294,"TR",4.22,34,9.43431,0.95
"191",1,3266,"Strada Paleologu","-",0.04104,"TR",4.68,28.2,8.15484,0.79
"192",1,7463,"Strada Armeneasca - est","-",0.06016,"TR",8.2,32.7,8.66398,0.86
"193",1,7464,"Strada Spătarului","-",0.06738,"TR",9.01,36.1,8.67237,0.88
"194",1,3267,"Calea Moşilor","-",0.26513,"TR",10.41,30.8,5.14159,0.92
"195",1,3268,"P-ţa Protopopescu","-",0.18448,"TR",23.11,29.9,1.10302,0.87
"196",1,3271,"Bulevardul Basarabia","+",0.05526,"TR",28.67,27,0,0.81
"197",1,8108,"Strada Cernăuţi","+",0.14943,"TR",24.55,39.1,2.56897,0.94
"198",1,8107,"Strada Pictor Dimitrie Hârlescu","+",0.19044,"TR",29.16,40,1.70461,0.89
"199",1,8106,"Aleea Diham","+",0.1561,"TR",36.53,40,0.75399,0.89
"200",1,8105,"Aleea Socului","+",0.18853,"TR",31.6,40,1.17487,0.89
"201",1,3270,"Şoseaua Pantelimon","+",0.23314,"TR",9.74,27.6,5.14159,0.91
"202",1,8104,"Aleea Dobrina","+",0.16446,"TR",24.5,26.7,0.716,0.83
"203",1,17548,"Strada Torentului","+",0.14968,"TR",25.79,34.5,1.43868,0.83
"204",1,17548,"Strada Torentului","-",0.03658,"TR",40.29,40,0,0.79
"205",1,8104,"Aleea Dobrina","-",0.13574,"TR",13.96,30.6,5.86038,0.99
"206",1,3270,"Şoseaua Pantelimon","-",0.22137,"TR",7.97,21.4,7.72799,0.89
"207",1,8105,"Aleea Socului","-",0.14505,"TR",20.57,39.5,3.50643,0.92
"208",1,8106,"Aleea Diham","-",0.18853,"TR",24.01,40,2.82488,0.83
"209",1,8107,"Strada Pictor Dimitrie Hârlescu","-",0.1561,"TR",11.56,40,7.91331,0.83
"210",1,8108,"Strada Cernăuţi","-",0.19044,"TR",5.91,40,9.2912,0.86
"211",1,3271,"Bulevardul Basarabia","-",0.20313,"TR",6.53,33.6,9.00824,0.84
"212",1,3275,"Strada Luica","+",0.05207,"TR",35.2,27.9,0,0.97
"213",1,7372,"Strada Covasna","+",0.19505,"TR",47.09,40,0,0.99
"214",1,7371,"Strada Semenic","+",0.07445,"TR",47.13,40,0,0.75
"215",1,7370,"Strada Lamoteşti","+",0.2178,"TR",44.67,40,0,0.76
"216",1,7369,"Strada Huedin","+",0.20781,"TR",22.86,37.6,2.71566,0.76
"217",1,7368,"Strada Izvorul Crişului","+",0.19114,"TR",31.01,38.5,1.01383,0.92
"218",1,7367,"Strada Râul Mara","+",0.22229,"TR",36.56,40,0.74839,0.76
"219",1,3274,"Strada Izvorul Rece","+",0.09341,"TR",9.11,29.9,3.14159,0.76
"220",1,8267,"Drumul Găzarului","+",0.14199,"TR",35.52,38.2,0.61061,0.82
"221",1,7366,"Aleea Cricovul Sărat","+",0.09222,"TR",35.59,40,0.95852,0.75
"222",1,7365,"Strada Sold. Dumitru Mincă","+",0.08224,"TR",44.05,38,0,0.75
"223",1,7364,"Aleea Cricovul Dulce","+",0.03222,"TR",50,40,0,0.75
"224",1,7363,"Strada Secuilor","+",0.15011,"TR",50,37.3,0,0.93
"225",1,7362,"Strada Băltiţa","+",0.12559,"TR",44.41,39,0,0.9
"226",1,7361,"Strada Pomârla","+",0.18223,"TR",45.98,40,0,0.9
"227",1,3273,"Bulevardul Olteniţei","+",0.36751,"TR",21.61,35,3.32625,0.9
"228",1,3273,"Bulevardul Olteniţei","-",0.11828,"TR",22.77,34.4,2.18097,0.92
"229",1,7361,"Strada Pomârla","-",0.29849,"TR",35.79,40,0.91534,0.97
"230",1,7362,"Strada Băltiţa","-",0.18225,"TR",35.25,40,1.03214,0.98
"231",1,7363,"Strada Secuilor","-",0.12669,"TR",28.76,38.1,1.4464,0.98
"232",1,7364,"Aleea Cricovul Dulce","-",0.15002,"TR",31.34,38.7,0.9804,0.98
"233",1,7365,"Strada Sold. Dumitru Mincă","-",0.03222,"TR",35.62,40,0.95286,0.98
"234",1,7366,"Aleea Cricovul Sărat","-",0.08112,"TR",26.21,32,0.75904,0.98
"235",1,8267,"Drumul Găzarului","-",0.09334,"TR",19.19,40,3.8723,0.99
"236",1,3274,"Strada Izvorul Rece","-",0.14138,"TR",23.32,34.1,1.98381,0.98
"237",1,7367,"Strada Râul Mara","-",0.09341,"TR",20.65,35.4,2.88625,0.96
"238",1,7368,"Strada Izvorul Crişului","-",0.22229,"TR",24.63,40,2.68813,0.96
"239",1,7369,"Strada Huedin","-",0.19114,"TR",25.34,37.7,2.15886,0.96
"240",1,7370,"Strada Lamoteşti","-",0.20781,"TR",28.84,39.5,1.68718,0.94
"241",1,7371,"Strada Semenic","-",0.2178,"TR",40.85,40,0,0.96
"242",1,7372,"Strada Covasna","-",0.07445,"TR",14.37,40,6.35102,0.97
"243",1,3275,"Strada Luica","-",0.24713,"TR",16.85,35,3.76355,0.91
"244",1,3278,"P-ţa Charles de Gaulle","+",0.10074,"TR",23.57,30,1.86292,0.99
"245",1,8008,"Strada Emanoil Porumbaru","+",0.16829,"TR",40.54,47.7,1.30561,0.99
"246",1,8007,"Strada Mr. Gheorghe Şonţu","+",0.1412,"TR",30.15,44.4,2.20295,0.99
